"Player","PA","PC","PC %","Team"
"Andriy Pyatov",102,76,"75%","Ukraine"
"Blerim Džemaili",101,86,"85%","Switzerland"
"Erik Johansson",99,93,"94%","Sweden"
"Burim Kukeli",99,92,"93%","Albania"
"Thiago Motta",99,85,"86%","Italy"
"Petr �<U+008C>ech",99,62,"63%","Czech Republic"
"Darren Randolph",99,47,"47%","Republic of Ireland"
"Eliseu",98,85,"87%","Portugal"
"Ovidiu Hoban",98,82,"84%","Romania"
"Denis Glushakov",97,85,"88%","Russia"
"Ozan Tufan",95,75,"79%","Turkey"
"Seamus Coleman",94,74,"79%","Republic of Ireland"
"Andriy Yarmolenko",93,78,"84%","Ukraine"
"David de Gea",93,77,"83%","Spain"
"Birkir Sævarsson",93,71,"76%","Iceland"
"Adrien Silva",92,80,"87%","Portugal"
"Marouane Fellaini",92,80,"87%","Belgium"
"Vladimír Weiss",92,72,"78%","Slovakia"
"Kári Árnason",92,66,"72%","Iceland"
"Danilo",91,84,"92%","Portugal"
"Kingsley Coman",91,80,"88%","France"
"Jaroslav Plašil",91,79,"87%","Czech Republic"
"Adam Lallana",90,81,"90%","England"
"Romelu Lukaku",90,74,"82%","Belgium"
"Daniel Sturridge",89,73,"82%","England"
"Yannick Carrasco",88,78,"89%","Belgium"
"Róbert Mak",88,78,"89%","Slovakia"
"Marko Arnautovi�<U+0087>",88,70,"80%","Austria"
"Florian Klein",88,66,"75%","Austria"
"Glenn Whelan",87,78,"90%","Republic of Ireland"
"Andreas Isaksson",87,50,"57%","Sweden"
"Ruslan Rotan",86,80,"93%","Ukraine"
"Stephen Ward",86,72,"84%","Republic of Ireland"
"James McCarthy",85,69,"81%","Republic of Ireland"
"Ciprian T�<U+0083>t�<U+0083>ru�<U+009F>anu",85,56,"66%","Romania"
"Shkodran Mustafi",84,79,"94%","Germany"
"Moussa Sissoko",84,75,"89%","France"
"Albin Ekdal",83,69,"83%","Sweden"
"Igor Akinfeev",83,60,"72%","Russia"
"Gökhan Gönül",82,63,"77%","Turkey"
"Jack Wilshere",81,69,"85%","England"
"Wes Hoolahan",81,63,"78%","Republic of Ireland"
"Olivier Giroud",81,56,"69%","France"
"�<U+0089>der",80,68,"85%","Italy"
"Caner Erkin",80,57,"71%","Turkey"
"Samuel Umtiti",79,79,"100%","France"
"José Fonte",79,67,"85%","Portugal"
"Antonio Candreva",79,66,"84%","Italy"
"Oleg Shatov",79,66,"84%","Russia"
"Cédric",79,64,"81%","Portugal"
"Jordan Henderson",78,73,"94%","England"
"Sebastian Prödl",78,69,"88%","Austria"
"Ricardo Quaresma",77,64,"83%","Portugal"
"Aleksandr Kokorin",77,60,"78%","Russia"
"László Kleinheisler",76,58,"76%","Hungary"
"Nicolae Stanciu",76,53,"70%","Romania"
"Sebastian Larsson",75,64,"85%","Sweden"
"Gareth McAuley",75,55,"73%","Northern Ireland"
"Kamil Grosicki",74,48,"65%","Poland"
"Volkan Babacan",74,36,"49%","Turkey"
"Olexandr Kucher",73,68,"93%","Ukraine"
"Cristian S�<U+0083>punaru",72,63,"88%","Romania"
"Georgi Schennikov",72,63,"88%","Russia"
"Emil Forsberg",72,57,"79%","Sweden"
"Álvaro Morata",72,54,"75%","Spain"
"Dries Mertens",71,56,"79%","Belgium"
"Mario Mandžuki�<U+0087>",71,52,"73%","Croatia"
"Kolbeinn Sigthórsson",71,50,"70%","Iceland"
"Roman Neustädter",70,64,"91%","Russia"
"Jón Dadi Bödvarsson",70,48,"69%","Iceland"
"Aleksandr Golovin",69,58,"84%","Russia"
"Ledian Memushaj",68,54,"79%","Albania"
"Craig Cathcart",68,52,"76%","Northern Ireland"
"Pavel Kade�<U+0099>ábek",68,49,"72%","Czech Republic"
"Mario Götze",67,62,"93%","Germany"
"Ádám Pintér",67,59,"88%","Hungary"
"Patrik Hrošovský",66,59,"89%","Slovakia"
"Bohdan Butko",66,55,"83%","Ukraine"
"Bartosz Kapustka",65,53,"82%","Poland"
"Marcel Sabitzer",65,49,"75%","Austria"
"Bogdan Stancu",65,48,"74%","Romania"
"Laurent Ciman",64,57,"89%","Belgium"
"Vyacheslav Shevchuk",64,52,"81%","Ukraine"
"Stefan Ilsanker",63,50,"79%","Austria"
"Haris Seferovi�<U+0087>",63,47,"75%","Switzerland"
"Bruno Soriano",61,60,"98%","Spain"
"R�<U+0083>zvan Raţ",61,38,"62%","Romania"
"Viktor Kovalenko",60,57,"95%","Ukraine"
"O�<U+009F>uzhan �<U+0096>zyakup",59,51,"86%","Turkey"
"Tomasz Jod�<U+0082>owiec",59,44,"75%","Poland"
"Andrei Prepeliţ�<U+0083>",58,51,"88%","Romania"
"Stuart Dallas",58,42,"72%","Northern Ireland"
"Ondrej Duda",57,50,"88%","Slovakia"
"Olexandr Zinchenko",57,47,"82%","Ukraine"
"Corry Evans",56,48,"86%","Northern Ireland"
"Raheem Sterling",56,42,"75%","England"
"Gerg�<U+0091> Lovrencsics",55,46,"84%","Hungary"
"Burak Yılmaz",55,43,"78%","Turkey"
"Fedor Smolov",55,41,"75%","Russia"
"Artem Dzyuba",55,36,"65%","Russia"
"Serhiy Sydorchuk",54,47,"87%","Ukraine"
"Mihai Pintilii",54,39,"72%","Romania"
"Alessandro Schöpf",53,51,"96%","Austria"
"Shane Long",52,38,"73%","Republic of Ireland"
